Author,Rating,Title,Date,Body
"Trilochan Prasad Nanda, Nayagarh",4.0 out of 5 stars,4.0•Very Good,"Reviewed in India on · Aug, 2020",A must buy for long-term use. Been using the same product for last 3 years in my lab. Made me buy for my home also. Everything is best in this product. Only demerit - weight is little bit on heavier s...
"Dipankar Dhabak, Basirhat",4.0 out of 5 stars,4.0•Good quality product,"Reviewed in India on · Jul, 2020","I bought it around 7 days, very bright light and looks handy. It claims will serve 15 hr once fully charged. So far no complain. If charging cable length would be a bit more it would be a 5* product."
"Triveni Customer, Bengaluru",4.0 out of 5 stars,4.0•Pretty good,"Reviewed in India on · Sep, 2018",Nice
"Amaan Khan, Ashti,gadchiroli",5.0 out of 5 stars,5.0•Brilliant,"Reviewed in India on · Sep, 2019",Good product but length of charging wite is soo less
"Pradipta Ranjan  Dash, Baripada",5.0 out of 5 stars,5.0•Must buy!,"Reviewed in India on · Oct, 2022",One of the best emergency lights avaliable in india. I have purchased 3 lights of this. They all work great. Very useful for me to study when electricity is gone. I use it for my study purposes. Very ...
"Sajith  Shyam, Kalamassery",5.0 out of 5 stars,5.0•Worth every penny,"Reviewed in India on · Jul, 2021",It's a good product. I already was using same model for around 7 years and recently it's battery got damaged. Hope this will also last long enough.
"Surendar Modampalli, Hyderabad",5.0 out of 5 stars,5.0•Simply awesome,"Reviewed in India on · Jul, 2021",Delivery boy respected person nice talking his name is salman very thankful to ekart
"Prabhat Kumar, Ranchi",5.0 out of 5 stars,5.0•Super!,"Reviewed in India on · Mar, 2021","After 2 times of replacement finally in 3rd time i got what i want,,, 12 + hour or backup,  i have used 12 hour continue and the light is still glowing,,  go for it if you want heavy backup and durability"
"Shankar LK, Bengaluru",5.0 out of 5 stars,5.0•Perfect product!,"Reviewed in India on · Dec, 2020",Good. Price is toooooooo highhhhhhh
"Arindam  Chatterjee, Birbhum District",5.0 out of 5 stars,5.0•Terrific purchase,"Reviewed in India on · Mar, 2020",Good emergency light without any doubt. I tested its backup. It lasted for 12 hours long at a stretch with  same brightness. Go for it.
"Flipkart Customer, Malappuram District",5.0 out of 5 stars,5.0•Simply awesome,"Reviewed in India on · Mar, 2020",Fantastic purchase :*
"Susmita Das, Tiruchendur",5.0 out of 5 stars,5.0•Fabulous!,"Reviewed in India on · Nov, 2019",Very satisfactory as an emergency light.
"Jitendra Singh, New Delhi",5.0 out of 5 stars,5.0•Terrific,"Reviewed in India on · Sep, 2018",good
"SANJAY SJS, Bangalore",5.0 out of 5 stars,5.0•Terrific,"Reviewed in India on · Sep, 2018",awesome product .. received in just 12 hours.. date of delivery was on 14th september.. but flipkart delivered  in just 12 hours. welldone flipkart.. keep it going
"NITISH KUMAR, Bokaro",5.0 out of 5 stars,5.0•Simply awesome,"Reviewed in India on · Jul, 2018",This emergency light is the best buy if you want to illuminate ur room for short duration power cuts. The charging time is around 10-12 hrs and it will give you a backup of around 8-9 hrs.
"Rajesh agarwal, Alwar",5.0 out of 5 stars,5.0•Fabulous!,"Reviewed in India on · May, 2018",it's a good product
"Flipkart Customer, Bangalore",5.0 out of 5 stars,5.0•Simply awesome,"Reviewed in India on · Oct, 2017",Got it with at least Rs300 less than market price. Have one of these items. We rdered again. Thanks to Flipkart for the wonderful offer and always best as usual. Makes life easier and simple with exce...
"Ashutosh  Mohanty., Cuttack",5.0 out of 5 stars,5.0•Simply awesome,"Reviewed in India on · Oct, 2017",Fine product and good lighting......Must buy.... Magnificent and long lasting battery.👍👌💯
"Flipkart Customer, Hyderabad",5.0 out of 5 stars,5.0•Wonderful,"Reviewed in India on · Jul, 2017",Good one
Product is not optimized.,1.0 out of 5 stars,1.0•Product is not optimized.,"Reviewed in India on · Aug, 2013","I have used the product for last 2 months. The product is showing some misbehavior, This is really disturbing and troubling.  I am happy with battery backup and lightning. But the Products switch logi..."
"Prashant Kumar, Patna",5.0 out of 5 stars,5.0•Excellent,"Reviewed in India on · Feb, 2019",very well.
"Varun Pai Kakode, Bambolim",5.0 out of 5 stars,5.0•Durable,"Reviewed in India on · Aug, 2016",Been using this product for almost 3 years now. No problems encountered. Only slight fallback is short charging cable. Worth the buy.
Excellent,5.0 out of 5 stars,5.0•Excellent,"Reviewed in India on · Jan, 2014","The product is excellent, worth its cost and moreover it is from a reputed Indian brand and not a chineses one"
"Moloy Biswas, Durgapur",5.0 out of 5 stars,5.0•Mind-blowing purchase,"Reviewed in India on · Mar, 2022",16+ hrs Backup Light is bright enough for reading Gets hot under the handle while charging
"Flipkart Customer, Coimbatore",5.0 out of 5 stars,5.0•Excellent,"Reviewed in India on · Jun, 2018",good
"Geetha Jayanna, Bangalore",5.0 out of 5 stars,5.0•Awesome,"Reviewed in India on · Apr, 2018",Nice product
"Ayush Raj, Patna",5.0 out of 5 stars,5.0•Terrific purchase,"Reviewed in India on · Nov, 2017","Nice product ,looks good & bright light , long time battery backup"
"Om prakash  Sharma, Jaipur",5.0 out of 5 stars,5.0•Worth every penny,Reviewed in India on · 1 month ago,Supar h very good
"Sunil somdutt, Uttar Madarihat",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 2 months ago,Excellent
"Asish  Nath, South Tripura",5.0 out of 5 stars,5.0•Worth every penny,Reviewed in India on · 2 months ago,Very good product ❤️
"Flipkart Customer, Kendrapara District",1.0 out of 5 stars,1.0•Very poor,Reviewed in India on · 2 months ago,This product is very bad front light not functioning
"Rounaq, Jagalur",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 2 months ago,Very nice product. Must buy Worth the money
"Flipkart Customer, Delhi",1.0 out of 5 stars,1.0•Horrible,Reviewed in India on · 3 months ago,Its not working even after 24hrs of charging
"Rimsha  Ajin, Kollancode",3.0 out of 5 stars,3.0•Does the job,Reviewed in India on · 3 months ago,Good product
"manjunath BYRAPUR, Bengaluru",1.0 out of 5 stars,1.0•Useless product,Reviewed in India on · 4 months ago,Not a good quality
"Suraj Yadav, Gorakhpur District",4.0 out of 5 stars,4.0•Delightful,Reviewed in India on · 4 months ago,Long backup
"Pradeep kumar  Chauhan, Deoria District",4.0 out of 5 stars,4.0•Worth the money,Reviewed in India on · 4 months ago,Good product
"Flipkart Customer, Presidency Division",4.0 out of 5 stars,4.0•Nice product,Reviewed in India on · 4 months ago,Good product
"Santhosh Moolya, Udupi District",5.0 out of 5 stars,5.0•Fabulous!,Reviewed in India on · 5 months ago,Very nice
"Pardeep, Rupnagar",5.0 out of 5 stars,5.0•Super!,Reviewed in India on · 5 months ago,It's amazing
"Chandraprakash Parmar, Ranjangaon Midc",5.0 out of 5 stars,5.0•Brilliant,Reviewed in India on · 5 months ago,Good one
"Bishnu Bhattacharyya, Birbhum District",5.0 out of 5 stars,5.0•Classy product,Reviewed in India on · 6 months ago,Looks gorgeous.. seller fantastic.. quality wonderful..
"Falmani  Devi, Deoghar District",5.0 out of 5 stars,5.0•Terrific,Reviewed in India on · 6 months ago,Good product thanks flipcart
"Mohammad Yasin, Natham",5.0 out of 5 stars,5.0•Fabulous!,Reviewed in India on · 7 months ago,Good
"Chandan Kumar, Daudnagar",5.0 out of 5 stars,5.0•Highly recommended,Reviewed in India on · 7 months ago,Very nice
"Tapan Kumar Das, Central Division",1.0 out of 5 stars,1.0•Awesome,Reviewed in India on · 7 months ago,Good
"Sheikh Didar, Jagatsinghapur District",5.0 out of 5 stars,5.0•Terrific,Reviewed in India on · 8 months ago,"Perfect product from evaready,and the good things is this is a Indian products,and this price range very very very good product thanks Flipkart for express delivery 🚚🚚🚚❤️❤️❤️"
"Bishal Maity, Uluberia",5.0 out of 5 stars,5.0•Worth every penny,Reviewed in India on · 8 months ago,Nice product.
"kiran bamniya, Dhar District",5.0 out of 5 stars,5.0•Terrific purchase,Reviewed in India on · 8 months ago,Incredible lighting thor ... thanks Eveready
"Arpit Mishra, Lucknow District",4.0 out of 5 stars,4.0•Worth the money,Reviewed in India on · 8 months ago,Good
"SAGEN SOREN, Dhanbad",4.0 out of 5 stars,4.0•Nice product,Reviewed in India on · 9 months ago,It is still working well after 1 year.💖
"Dalip Saroj, Rajpura",1.0 out of 5 stars,1.0•Very poor,Reviewed in India on · 9 months ago,Product is very cheap quality light is not working properly
"Pradip kumar Nath, Bhadrak",4.0 out of 5 stars,4.0•Nice product,Reviewed in India on · 9 months ago,Good
"Shrishail H, Hoskote",3.0 out of 5 stars,3.0•Does the job,Reviewed in India on · 9 months ago,2 hours Battery backup
"Naveen Kumar Mayank, Darbhanga",5.0 out of 5 stars,5.0•Terrific,Reviewed in India on Naveen Kumar Mayank,"Very good light, battery back up is so good"
"CHHEDI  SAH, Darbhanga District",5.0 out of 5 stars,5.0•Classy product,Reviewed in India on · 10 months ago,Good product
"Rajan Shukla, Katra Gonda District",5.0 out of 5 stars,5.0•Terrific purchase,Reviewed in India on · 11 months ago,Awesome light. Mind-blowing backup result. No one can beat
"Flipkart Customer, Palakkad District",3.0 out of 5 stars,3.0•Fair,Reviewed in India on · 11 months ago,Indicator to denote full charge is not there
"Flipkart Customer, Noida",5.0 out of 5 stars,5.0•Worth every penny,Reviewed in India on · 11 months ago,Awesome
"Yashwant Dangi, Udaipur",5.0 out of 5 stars,5.0•Best in the market!,"Reviewed in India on · May, 2025",Best product emergency use thx so much everyday
"Manoj Kumar, Bhadrak",5.0 out of 5 stars,5.0•Must buy!,"Reviewed in India on · May, 2025",Nice product thankyou Flipkart
